PM,X,Y,Z
32.000000,823254.664393,1091482.230631,-123.474087
32.250000,823254.770041,1091482.004065,-123.471587
32.500000,823254.875689,1091481.777499,-123.469087
32.750000,823254.981337,1091481.550932,-123.466587
33.000000,823255.086985,1091481.324366,-123.464087
33.250000,823255.192633,1091481.097800,-123.461587
33.500000,823255.298281,1091480.871234,-123.459087
33.750000,823255.403929,1091480.644667,-123.456587
34.000000,823255.509577,1091480.418101,-123.454087
34.250000,823255.615225,1091480.191535,-123.451587
34.500000,823255.720873,1091479.964969,-123.449087
34.750000,823255.826521,1091479.738403,-123.446587
35.000000,823255.932169,1091479.511836,-123.444087
35.250000,823256.037817,1091479.285270,-123.441587
35.500000,823256.143465,1091479.058704,-123.439087
35.750000,823256.249113,1091478.832138,-123.436587
36.000000,823256.354761,1091478.605571,-123.434087
36.250000,823256.460409,1091478.379005,-123.431587
36.500000,823256.566057,1091478.152439,-123.429087
36.750000,823256.671705,1091477.925873,-123.426587
37.000000,823256.777353,1091477.699307,-123.424087
37.250000,823256.883001,1091477.472740,-123.421587
37.500000,823256.988649,1091477.246174,-123.419087
37.750000,823257.094297,1091477.019608,-123.416587
38.000000,823257.199945,1091476.793042,-123.414087
38.250000,823257.305593,1091476.566476,-123.411587
38.500000,823257.411241,1091476.339909,-123.409087
38.750000,823257.516889,1091476.113343,-123.406586
39.000000,823257.622537,1091475.886777,-123.404086
39.250000,823257.728185,1091475.660211,-123.401586
39.500000,823257.833832,1091475.433644,-123.399086
39.750000,823257.939480,1091475.207078,-123.396586
40.000000,823258.045128,1091474.980512,-123.394086
40.250000,823258.150776,1091474.753946,-123.391586
40.500000,823258.256424,1091474.527380,-123.389086
40.750000,823258.362072,1091474.300813,-123.386586
41.000000,823258.467720,1091474.074247,-123.384086
41.250000,823258.573368,1091473.847681,-123.381586
41.500000,823258.679016,1091473.621115,-123.379086
41.750000,823258.784664,1091473.394549,-123.376586
42.000000,823258.890312,1091473.167982,-123.374086
42.250000,823258.995960,1091472.941416,-123.371586
42.500000,823259.101608,1091472.714850,-123.369086
42.750000,823259.207256,1091472.488284,-123.366586
43.000000,823259.312904,1091472.261717,-123.364086
43.250000,823259.418552,1091472.035151,-123.361586
43.500000,823259.524200,1091471.808585,-123.359086
43.750000,823259.629848,1091471.582019,-123.356586
44.000000,823259.735496,1091471.355453,-123.354086
44.250000,823259.841144,1091471.128886,-123.351586
44.500000,823259.946792,1091470.902320,-123.349086
44.750000,823260.052440,1091470.675754,-123.346586
45.000000,823260.158088,1091470.449188,-123.344086
45.250000,823260.263736,1091470.222621,-123.341586
45.500000,823260.369384,1091469.996055,-123.339086
45.750000,823260.475032,1091469.769489,-123.336586
46.000000,823260.580680,1091469.542923,-123.334086
46.250000,823260.686328,1091469.316357,-123.331586
46.500000,823260.791976,1091469.089790,-123.329086
46.750000,823260.897624,1091468.863224,-123.326586
47.000000,823261.003272,1091468.636658,-123.324086
47.250000,823261.108920,1091468.410092,-123.321586
47.500000,823261.214568,1091468.183526,-123.319086
47.750000,823261.320216,1091467.956959,-123.316586
48.000000,823261.425864,1091467.730393,-123.314086
48.250000,823261.531512,1091467.503827,-123.311586
48.500000,823261.637160,1091467.277261,-123.309086
48.750000,823261.742808,1091467.050694,-123.306586
49.000000,823261.848456,1091466.824128,-123.304086
49.250000,823261.954104,1091466.597562,-123.301586
49.500000,823262.059752,1091466.370996,-123.299086
49.750000,823262.165400,1091466.144430,-123.296586
50.000000,823262.271048,1091465.917863,-123.294086
