source_file,sheet,month,metric,periodic_mm,cumulative_mm,cumulative_outside_month
C:\Temp\1-tableaux\GHA\04_304-GHA_SMC_T28_25_07-25.xlsm,Convergences,2025-07,HD,-1.07031720824002,-31.80982896431539,False
C:\Temp\1-tableaux\GHA\04_304-GHA_SMC_T28_25_07-25.xlsm,Convergences,2025-07,BD,,0.0,True
C:\Temp\1-tableaux\GHA\04_304-GHA_SMC_T28_25_07-25.xlsm,Convergences,2025-07,LH,-1.1346355520354123,-19.19076369900008,False
C:\Temp\1-tableaux\GHA\04_304-GHA_SMC_T28_25_07-25.xlsm,Convergences,2025-07,LB,,0.0,True
C:\Temp\1-tableaux\GHA\04_304-GHA_SMC_T28_25_07-25.xlsm,Convergences,2025-07,IG,-1.457816368547256,-35.32105634448968,False
C:\Temp\1-tableaux\GHA\04_304-GHA_SMC_T28_25_07-25.xlsm,Convergences,2025-07,ID,-1.1757255203424037,-51.20926998673525,False
C:\Temp\1-tableaux\GHA\04_304-GHA_SMC_T28_25_07-25.xlsm,Convergences,2025-07,LI,-6.039878448454765,-60.79666010030316,False
C:\Temp\1-tableaux\GHA\04_305-GHA_SMC_T41_25_07_30.xlsm,Convergences,2025-07,BG,,0.0,True
C:\Temp\1-tableaux\GHA\04_305-GHA_SMC_T41_25_07_30.xlsm,Convergences,2025-07,HG,-0.5981083827522067,-10.782112845062477,False
C:\Temp\1-tableaux\GHA\04_305-GHA_SMC_T41_25_07_30.xlsm,Convergences,2025-07,HD,-0.8557623270117887,-6.1302861677527964,False
C:\Temp\1-tableaux\GHA\04_305-GHA_SMC_T41_25_07_30.xlsm,Convergences,2025-07,BD,,0.0,True
C:\Temp\1-tableaux\GHA\04_305-GHA_SMC_T41_25_07_30.xlsm,Convergences,2025-07,LH,-0.8049130828275963,-9.21256021393102,False
C:\Temp\1-tableaux\GHA\04_305-GHA_SMC_T41_25_07_30.xlsm,Convergences,2025-07,LB,,0.0,True
