source_file,sheet,month,measure_label,col_index,col_letter,periodic_mm,cumulative_mm,cumulative_outside_month
C:\Temp\1-tableaux\GGS\03_107-GGS_SMC_C031_PM024_25_07_29.xlsm,Déplacements,2025-07,DZ bas gauche,5,E,,0.0,True
C:\Temp\1-tableaux\GGS\03_107-GGS_SMC_C031_PM024_25_07_29.xlsm,Déplacements,2025-07,DPM inter gauche,6,F,-0.8366919809930096,-0.9146209091639435,False
C:\Temp\1-tableaux\GGS\03_107-GGS_SMC_C031_PM024_25_07_29.xlsm,Déplacements,2025-07,DH inter gauche,7,G,10.312611112385461,12.37269032929511,False
C:\Temp\1-tableaux\GGS\03_107-GGS_SMC_C031_PM024_25_07_29.xlsm,Déplacements,2025-07,DZ inter gauche,8,H,-4.3999999999897454,-4.899999999992133,False
C:\Temp\1-tableaux\GGS\03_107-GGS_SMC_C031_PM024_25_07_29.xlsm,Déplacements,2025-07,DPM haut gauche,9,I,0.12116604060352643,0.04274944971882633,False
C:\Temp\1-tableaux\GGS\03_107-GGS_SMC_C031_PM024_25_07_29.xlsm,Déplacements,2025-07,DH haut gauche,10,J,1.1598789387861075,1.5646639015458597,False
C:\Temp\1-tableaux\GGS\03_107-GGS_SMC_C031_PM024_25_07_29.xlsm,Déplacements,2025-07,DZ haut gauche,11,K,-5.49999999999784,-6.100000000003547,False
C:\Temp\1-tableaux\GGS\03_107-GGS_SMC_C031_PM024_25_07_29.xlsm,Déplacements,2025-07,DPM centre haut,12,L,-2.4108758508241124,-3.1537556430798475,False
C:\Temp\1-tableaux\GGS\03_107-GGS_SMC_C031_PM024_25_07_29.xlsm,Déplacements,2025-07,DH centre haut,13,M,-1.4552243256903963,-0.8085947476554334,False
C:\Temp\1-tableaux\GGS\03_107-GGS_SMC_C031_PM024_25_07_29.xlsm,Déplacements,2025-07,DZ centre haut,14,N,-6.900000000001683,-7.699999999999818,False
C:\Temp\1-tableaux\GGS\03_107-GGS_SMC_C031_PM024_25_07_29.xlsm,Déplacements,2025-07,DPM haut droit,15,O,0.31831084339728477,-0.11652187016863991,False
C:\Temp\1-tableaux\GGS\03_107-GGS_SMC_C031_PM024_25_07_29.xlsm,Déplacements,2025-07,DH haut droit,16,P,-6.361499671288406,-5.902238646461555,False
C:\Temp\1-tableaux\GGS\03_107-GGS_SMC_C031_PM024_25_07_29.xlsm,Déplacements,2025-07,DZ haut droit,17,Q,-4.9999999999954525,-5.60000000000116,False
C:\Temp\1-tableaux\GGS\03_107-GGS_SMC_C031_PM024_25_07_29.xlsm,Déplacements,2025-07,DPM inter droit,18,R,-3.56757315741163,-4.250357448039921,False
C:\Temp\1-tableaux\GGS\03_107-GGS_SMC_C031_PM024_25_07_29.xlsm,Déplacements,2025-07,DH inter droit,19,S,-11.042301444628144,-11.471027098003184,False
C:\Temp\1-tableaux\GGS\03_107-GGS_SMC_C031_PM024_25_07_29.xlsm,Déplacements,2025-07,DZ inter droit,20,T,-6.700000000009254,-7.30000000000075,False
C:\Temp\1-tableaux\GGS\03_107-GGS_SMC_C031_PM024_25_07_29.xlsm,Déplacements,2025-07,DPM bas droit,21,U,,0.0,True
C:\Temp\1-tableaux\GGS\03_107-GGS_SMC_C031_PM024_25_07_29.xlsm,Déplacements,2025-07,DH bas droit,22,V,,0.0,True
C:\Temp\1-tableaux\GGS\03_107-GGS_SMC_C031_PM024_25_07_29.xlsm,Déplacements,2025-07,DZ bas droit,23,W,,0.0,True
C:\Temp\1-tableaux\GHA\04_301-GVA_SMC_C105_C106_25_07_23.xlsm,Déplacements,2025-07,DPM bas gauche,3,C,-1.0086856165576474,-0.31060584821385184,False
C:\Temp\1-tableaux\GHA\04_301-GVA_SMC_C105_C106_25_07_23.xlsm,Déplacements,2025-07,DH bas gauche,4,D,0.7433393222706641,1.9378046154794326,False
C:\Temp\1-tableaux\GHA\04_301-GVA_SMC_C105_C106_25_07_23.xlsm,Déplacements,2025-07,DZ bas gauche,5,E,0.6000000000057071,1.012500000015848,False
C:\Temp\1-tableaux\GHA\04_301-GVA_SMC_C105_C106_25_07_23.xlsm,Déplacements,2025-07,DPM haut gauche,6,F,-0.5254749027083783,-4.110520143288499,False
C:\Temp\1-tableaux\GHA\04_301-GVA_SMC_C105_C106_25_07_23.xlsm,Déplacements,2025-07,DH haut gauche,7,G,0.41698440588122665,13.309906831859397,False
C:\Temp\1-tableaux\GHA\04_301-GVA_SMC_C105_C106_25_07_23.xlsm,Déplacements,2025-07,DZ haut gauche,8,H,0.19999999999242846,0.2999999999957481,False
C:\Temp\1-tableaux\GHA\04_301-GVA_SMC_C105_C106_25_07_23.xlsm,Déplacements,2025-07,DPM centre haut,9,I,-1.5162996737416705,-20.699890775863985,False
C:\Temp\1-tableaux\GHA\04_301-GVA_SMC_C105_C106_25_07_23.xlsm,Déplacements,2025-07,DH centre haut,10,J,0.17560002679201103,1.3255300011196791,False
C:\Temp\1-tableaux\GHA\04_301-GVA_SMC_C105_C106_25_07_23.xlsm,Déplacements,2025-07,DZ centre haut,11,K,-1.5000000000071623,-53.49999999999966,False
C:\Temp\1-tableaux\GHA\04_301-GVA_SMC_C105_C106_25_07_23.xlsm,Déplacements,2025-07,DPM haut droit,12,L,0.3263548600869193,-0.8008971666280118,False
C:\Temp\1-tableaux\GHA\04_301-GVA_SMC_C105_C106_25_07_23.xlsm,Déplacements,2025-07,DH haut droit,13,M,0.483210559141245,-12.952164174959258,False
C:\Temp\1-tableaux\GHA\04_301-GVA_SMC_C105_C106_25_07_23.xlsm,Déplacements,2025-07,DZ haut droit,14,N,1.3999999999896318,2.600000000001046,False
C:\Temp\1-tableaux\GHA\04_301-GVA_SMC_C105_C106_25_07_23.xlsm,Déplacements,2025-07,DPM bas droit,15,O,-0.6344072425956693,-0.050176698230375294,False
C:\Temp\1-tableaux\GHA\04_301-GVA_SMC_C105_C106_25_07_23.xlsm,Déplacements,2025-07,DH bas droit,16,P,-0.2958506017858298,-4.092159023292297,False
C:\Temp\1-tableaux\GHA\04_301-GVA_SMC_C105_C106_25_07_23.xlsm,Déplacements,2025-07,DZ bas droit,17,Q,0.5999999999914962,1.5874999999994088,False
C:\Temp\1-tableaux\GHA\04_302-GHA_SMC_C04_C05_25_07_23.xlsm,Déplacements,2025-07,DPM bas gauche,3,C,-0.14204533561334998,-0.26839677636969483,False
C:\Temp\1-tableaux\GHA\04_302-GHA_SMC_C04_C05_25_07_23.xlsm,Déplacements,2025-07,DH bas gauche,4,D,-0.28692002431540686,1.6402631966481174,False
C:\Temp\1-tableaux\GHA\04_302-GHA_SMC_C04_C05_25_07_23.xlsm,Déplacements,2025-07,DZ bas gauche,5,E,0.6000000000057071,0.5000000000023874,False
C:\Temp\1-tableaux\GHA\04_302-GHA_SMC_C04_C05_25_07_23.xlsm,Déplacements,2025-07,DPM inter gauche,6,F,-0.6766714314574429,3.336489782701957,False
C:\Temp\1-tableaux\GHA\04_302-GHA_SMC_C04_C05_25_07_23.xlsm,Déplacements,2025-07,DH inter gauche,7,G,-0.20522111229670514,23.485867063027133,False
C:\Temp\1-tableaux\GHA\04_302-GHA_SMC_C04_C05_25_07_23.xlsm,Déplacements,2025-07,DZ inter gauche,8,H,0.6500000000073669,-13.075000000000614,False
C:\Temp\1-tableaux\GHA\04_302-GHA_SMC_C04_C05_25_07_23.xlsm,Déplacements,2025-07,DPM haut gauche,9,I,-1.4195692621843392,5.942421626698113,False
C:\Temp\1-tableaux\GHA\04_302-GHA_SMC_C04_C05_25_07_23.xlsm,Déplacements,2025-07,DH haut gauche,10,J,0.44138806573545963,25.94243879577096,False
C:\Temp\1-tableaux\GHA\04_302-GHA_SMC_C04_C05_25_07_23.xlsm,Déplacements,2025-07,DZ haut gauche,11,K,-0.2999999999957481,-19.450000000006185,False
C:\Temp\1-tableaux\GHA\04_302-GHA_SMC_C04_C05_25_07_23.xlsm,Déplacements,2025-07,DPM centre haut,12,L,0.08452878554088272,43.07974128308034,False
C:\Temp\1-tableaux\GHA\04_302-GHA_SMC_C04_C05_25_07_23.xlsm,Déplacements,2025-07,DH centre haut,13,M,-0.1812593026052305,10.545539202805797,False
C:\Temp\1-tableaux\GHA\04_302-GHA_SMC_C04_C05_25_07_23.xlsm,Déplacements,2025-07,DZ centre haut,14,N,-1.0999999999938836,-75.50000000000523,False
C:\Temp\1-tableaux\GHA\04_302-GHA_SMC_C04_C05_25_07_23.xlsm,Déplacements,2025-07,DPM haut droit,15,O,0.8114518093274015,4.54685165094304,False
C:\Temp\1-tableaux\GHA\04_302-GHA_SMC_C04_C05_25_07_23.xlsm,Déplacements,2025-07,DH haut droit,16,P,-0.32040128007970736,-4.42640775782932,False
C:\Temp\1-tableaux\GHA\04_302-GHA_SMC_C04_C05_25_07_23.xlsm,Déplacements,2025-07,DZ haut droit,17,Q,1.1999999999972033,-30.349999999998545,False
C:\Temp\1-tableaux\GHA\04_302-GHA_SMC_C04_C05_25_07_23.xlsm,Déplacements,2025-07,DPM inter droit,18,R,-1.2176194586484002,4.486744901455619,False
C:\Temp\1-tableaux\GHA\04_302-GHA_SMC_C04_C05_25_07_23.xlsm,Déplacements,2025-07,DH inter droit,19,S,-1.1746926071518615,-18.37557120890887,False
C:\Temp\1-tableaux\GHA\04_302-GHA_SMC_C04_C05_25_07_23.xlsm,Déplacements,2025-07,DZ inter droit,20,T,0.5500000000040473,-13.449999999991746,False
