source_file,sheet,galerie,section,month,metric,periodic_mm,cumulative_mm,date_last_in_month,date_last_before_month,date_last_cumulative,nb_dates_in_month,nb_dates_before_month
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_105-GGS_SMC_C007_PM005_25_09_30.xlsm,Déplacements,GGS,C007,2025-09,"DZ centre haut x2
(interpolé)",-4.0,-47.7,2025-09-30,2025-08-25,2025-09-30,4,49
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_105-GGS_SMC_C007_PM005_25_09_30.xlsm,Déplacements,GGS,C007,2025-09,VITESSE EVOL DZ,,,,,,4,49
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_106-GGS_SMC_C020_PM005_25_09_30.xlsm,Déplacements,GGS,C020,2025-09,DPM bas gauche,,0.0,,2025-04-04,2025-04-04,5,25
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_106-GGS_SMC_C020_PM005_25_09_30.xlsm,Déplacements,GGS,C020,2025-09,DH bas gauche,,0.0,,2025-04-04,2025-04-04,5,25
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_106-GGS_SMC_C020_PM005_25_09_30.xlsm,Déplacements,GGS,C020,2025-09,DZ bas gauche,,0.0,,2025-04-04,2025-04-04,5,25
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_106-GGS_SMC_C020_PM005_25_09_30.xlsm,Déplacements,GGS,C020,2025-09,DPM inter gauche,-0.16,-1.85,2025-09-30,2025-08-25,2025-09-30,5,25
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_106-GGS_SMC_C020_PM005_25_09_30.xlsm,Déplacements,GGS,C020,2025-09,DH inter gauche,0.59,15.8,2025-09-30,2025-08-25,2025-09-30,5,25
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_106-GGS_SMC_C020_PM005_25_09_30.xlsm,Déplacements,GGS,C020,2025-09,DZ inter gauche,0.5,-10.1,2025-09-30,2025-08-25,2025-09-30,5,25
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_106-GGS_SMC_C020_PM005_25_09_30.xlsm,Déplacements,GGS,C020,2025-09,DPM haut gauche,-0.74,-1.61,2025-09-30,2025-08-25,2025-09-30,5,25
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_106-GGS_SMC_C020_PM005_25_09_30.xlsm,Déplacements,GGS,C020,2025-09,DH haut gauche,0.65,11.5,2025-09-30,2025-08-25,2025-09-30,5,25
