source_file;sheet;galerie;section;month;metric;periodic_mm;cumulative_mm;date_last_in_month;date_last_before_month;date_last_cumulative;nb_dates_in_month;nb_dates_before_month
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_101-GVA_SMC_C001_PM001_25_09_10.xlsm;Déplacements;GVA;C001;2025-09;DGGS+ bas gauche;-0.66;-1.86;10/09/2025;17/06/2025;10/09/2025;1;37
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_101-GVA_SMC_C001_PM001_25_09_10.xlsm;Déplacements;GVA;C001;2025-09;DZ bas gauche;-0.4;-2;10/09/2025;17/06/2025;10/09/2025;1;37
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_101-GVA_SMC_C001_PM001_25_09_10.xlsm;Déplacements;GVA;C001;2025-09;DGRD6+ haut gauche;1.01;1.61;10/09/2025;17/06/2025;10/09/2025;1;37
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_101-GVA_SMC_C001_PM001_25_09_10.xlsm;Déplacements;GVA;C001;2025-09;DGGS+ haut gauche;-0.74;-1.79;10/09/2025;17/06/2025;10/09/2025;1;37
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_101-GVA_SMC_C001_PM001_25_09_10.xlsm;Déplacements;GVA;C001;2025-09;DZ haut gauche;0.8;-0.4;10/09/2025;17/06/2025;10/09/2025;1;37
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_101-GVA_SMC_C001_PM001_25_09_10.xlsm;Déplacements;GVA;C001;2025-09;DGRD6+ centre haut;-0.88;0.88;10/09/2025;17/06/2025;10/09/2025;1;37
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_101-GVA_SMC_C001_PM001_25_09_10.xlsm;Déplacements;GVA;C001;2025-09;DGGS+ centre haut;0.69;-0.47;10/09/2025;17/06/2025;10/09/2025;1;37
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_101-GVA_SMC_C001_PM001_25_09_10.xlsm;Déplacements;GVA;C001;2025-09;DZ centre haut;-0.1;-1.4;10/09/2025;17/06/2025;10/09/2025;1;37
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_101-GVA_SMC_C001_PM001_25_09_10.xlsm;Déplacements;GVA;C001;2025-09;DGRD6+ haut droit;-3.3;-2.06;10/09/2025;17/06/2025;10/09/2025;1;37
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_101-GVA_SMC_C001_PM001_25_09_10.xlsm;Déplacements;GVA;C001;2025-09;DGGS+ haut droit;-1.43;-3.39;10/09/2025;17/06/2025;10/09/2025;1;37
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_101-GVA_SMC_C001_PM001_25_09_10.xlsm;Déplacements;GVA;C001;2025-09;DZ haut droit;-0.9;-1.7;10/09/2025;17/06/2025;10/09/2025;1;37
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_101-GVA_SMC_C001_PM001_25_09_10.xlsm;Déplacements;GVA;C001;2025-09;DGRD6+ bas droit;-2.19;-0.45;10/09/2025;17/06/2025;10/09/2025;1;37
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_101-GVA_SMC_C001_PM001_25_09_10.xlsm;Déplacements;GVA;C001;2025-09;DGGS+ bas droit;-1.46;-3.52;10/09/2025;17/06/2025;10/09/2025;1;37
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_101-GVA_SMC_C001_PM001_25_09_10.xlsm;Déplacements;GVA;C001;2025-09;DZ bas droit;0.7;-0.1;10/09/2025;17/06/2025;10/09/2025;1;37
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_101-GVA_SMC_C001_PM001_25_09_10.xlsm;Déplacements;GVA;C001;2025-09;DZ centre haut x2;;;;;;;
"(interpolé)""";-0.2;-2.8;10/09/2025;17/06/2025;10/09/2025;1;37;;;;;
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_101-GVA_SMC_C001_PM001_25_09_10.xlsm;Déplacements;GVA;C001;2025-09;VITESSE EVOL DZ;;;;;;1;37
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_102-B-GRD_SMC_C105_PM163_25_09_10.xlsm;Déplacements;GRD;C105;2025-09;DGRD4+ bas gauche;-0.69;-5.61;10/09/2025;28/03/2025;10/09/2025;1;37
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_102-B-GRD_SMC_C105_PM163_25_09_10.xlsm;Déplacements;GRD;C105;2025-09;DGVA+ bas gauche;2.43;5.88;10/09/2025;28/03/2025;10/09/2025;1;37
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_102-B-GRD_SMC_C105_PM163_25_09_10.xlsm;Déplacements;GRD;C105;2025-09;DZ bas gauche;-0.6;-1.2;10/09/2025;28/03/2025;10/09/2025;1;37
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_102-B-GRD_SMC_C105_PM163_25_09_10.xlsm;Déplacements;GRD;C105;2025-09;DGRD4+ haut gauche;0.07;-0.42;10/09/2025;17/06/2025;10/09/2025;1;37
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_102-B-GRD_SMC_C105_PM163_25_09_10.xlsm;Déplacements;GRD;C105;2025-09;DGVA+ haut gauche;-0.63;4.44;10/09/2025;17/06/2025;10/09/2025;1;37
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_102-B-GRD_SMC_C105_PM163_25_09_10.xlsm;Déplacements;GRD;C105;2025-09;DZ haut gauche;0.5;-4.4;10/09/2025;17/06/2025;10/09/2025;1;37
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_102-B-GRD_SMC_C105_PM163_25_09_10.xlsm;Déplacements;GRD;C105;2025-09;DGRD4+ centre haut;-0.05;0.15;10/09/2025;17/06/2025;10/09/2025;1;37
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_102-B-GRD_SMC_C105_PM163_25_09_10.xlsm;Déplacements;GRD;C105;2025-09;DGVA+ centre haut;4.61;10.55;10/09/2025;17/06/2025;10/09/2025;1;37
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_102-B-GRD_SMC_C105_PM163_25_09_10.xlsm;Déplacements;GRD;C105;2025-09;DZ centre haut;-0.5;-4.3;10/09/2025;17/06/2025;10/09/2025;1;37
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_102-B-GRD_SMC_C105_PM163_25_09_10.xlsm;Déplacements;GRD;C105;2025-09;DGRD4+ haut droit;0.95;2.28;10/09/2025;17/06/2025;10/09/2025;1;37
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_102-B-GRD_SMC_C105_PM163_25_09_10.xlsm;Déplacements;GRD;C105;2025-09;DGVA+ haut droit;-1.1;0.07;10/09/2025;17/06/2025;10/09/2025;1;37
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_102-B-GRD_SMC_C105_PM163_25_09_10.xlsm;Déplacements;GRD;C105;2025-09;DZ haut droit;0.9;-0.5;10/09/2025;17/06/2025;10/09/2025;1;37
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_102-B-GRD_SMC_C105_PM163_25_09_10.xlsm;Déplacements;GRD;C105;2025-09;DGRD4+ bas droit;-1.15;-0.99;10/09/2025;17/06/2025;10/09/2025;1;37
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_102-B-GRD_SMC_C105_PM163_25_09_10.xlsm;Déplacements;GRD;C105;2025-09;DGVA+ bas droit;-1.31;-1.67;10/09/2025;17/06/2025;10/09/2025;1;37
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_102-B-GRD_SMC_C105_PM163_25_09_10.xlsm;Déplacements;GRD;C105;2025-09;DZ bas droit;0.3;-0.8;10/09/2025;17/06/2025;10/09/2025;1;37
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_102-B-GRD_SMC_C105_PM163_25_09_10.xlsm;Déplacements;GRD;C105;2025-09;DZ centre haut x2;;;;;;;
"(interpolé)""";-1;-8.6;10/09/2025;17/06/2025;10/09/2025;1;37;;;;;
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_102-B-GRD_SMC_C105_PM163_25_09_10.xlsm;Déplacements;GRD;C105;2025-09;VITESSE EVOL DZ;;;;;;1;37
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_103-GRD_SMC_C116_PM172_25-09-10.xlsm;Déplacements;GRD;C116;2025-09;DGRD6+ bas gauche;-0.65;-2.71;10/09/2025;17/06/2025;10/09/2025;1;35
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_103-GRD_SMC_C116_PM172_25-09-10.xlsm;Déplacements;GRD;C116;2025-09;DGGS+ bas gauche;0.8;0.72;10/09/2025;17/06/2025;10/09/2025;1;35
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_103-GRD_SMC_C116_PM172_25-09-10.xlsm;Déplacements;GRD;C116;2025-09;DZ bas gauche;0.4;6.4;10/09/2025;17/06/2025;10/09/2025;1;35
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_103-GRD_SMC_C116_PM172_25-09-10.xlsm;Déplacements;GRD;C116;2025-09;DGRD6+ haut gauche;;-2.05;;14/01/2025;14/01/2025;1;35
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_103-GRD_SMC_C116_PM172_25-09-10.xlsm;Déplacements;GRD;C116;2025-09;DGGS+ haut gauche;;0.15;;14/01/2025;14/01/2025;1;35
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_103-GRD_SMC_C116_PM172_25-09-10.xlsm;Déplacements;GRD;C116;2025-09;DZ haut gauche;;-1.8;;14/01/2025;14/01/2025;1;35
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_103-GRD_SMC_C116_PM172_25-09-10.xlsm;Déplacements;GRD;C116;2025-09;DGRD6+ centre haut;-1.55;-3.35;10/09/2025;17/06/2025;10/09/2025;1;35
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_103-GRD_SMC_C116_PM172_25-09-10.xlsm;Déplacements;GRD;C116;2025-09;DGGS+ centre haut;0.49;-4.87;10/09/2025;17/06/2025;10/09/2025;1;35
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_103-GRD_SMC_C116_PM172_25-09-10.xlsm;Déplacements;GRD;C116;2025-09;DZ centre haut;-0.5;-4.3;10/09/2025;17/06/2025;10/09/2025;1;35
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_103-GRD_SMC_C116_PM172_25-09-10.xlsm;Déplacements;GRD;C116;2025-09;DGRD6+ haut droit;0.63;-2.65;10/09/2025;17/06/2025;10/09/2025;1;35
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_103-GRD_SMC_C116_PM172_25-09-10.xlsm;Déplacements;GRD;C116;2025-09;DGGS+ haut droit;0.3;-3.55;10/09/2025;17/06/2025;10/09/2025;1;35
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_103-GRD_SMC_C116_PM172_25-09-10.xlsm;Déplacements;GRD;C116;2025-09;DZ haut droit;0.1;-4.2;10/09/2025;17/06/2025;10/09/2025;1;35
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_103-GRD_SMC_C116_PM172_25-09-10.xlsm;Déplacements;GRD;C116;2025-09;DGRD6+ bas droit;1.22;-5.68;10/09/2025;17/06/2025;10/09/2025;1;35
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_103-GRD_SMC_C116_PM172_25-09-10.xlsm;Déplacements;GRD;C116;2025-09;DGGS+ bas droit;0.46;-6.51;10/09/2025;17/06/2025;10/09/2025;1;35
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_103-GRD_SMC_C116_PM172_25-09-10.xlsm;Déplacements;GRD;C116;2025-09;DZ bas droit;0.3;0.5;10/09/2025;17/06/2025;10/09/2025;1;35
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_103-GRD_SMC_C116_PM172_25-09-10.xlsm;Déplacements;GRD;C116;2025-09;DZ centre haut x2;;;;;;;
"(interpolé)""";-1;-8.6;10/09/2025;17/06/2025;10/09/2025;1;35;;;;;
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_103-GRD_SMC_C116_PM172_25-09-10.xlsm;Déplacements;GRD;C116;2025-09;VITESSE EVOL DZ;;;;;;1;35
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_104-GGS_SMC_C003_PM001_25_09_30.xlsm;Déplacements;GGS;C003;2025-09;DPM bas gauche;-0.2;-9.58;30/09/2025;25/08/2025;30/09/2025;4;57
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_104-GGS_SMC_C003_PM001_25_09_30.xlsm;Déplacements;GGS;C003;2025-09;DH bas gauche;0.9;9.66;30/09/2025;25/08/2025;30/09/2025;4;57
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_104-GGS_SMC_C003_PM001_25_09_30.xlsm;Déplacements;GGS;C003;2025-09;DZ bas gauche;0.3;0.3;30/09/2025;25/08/2025;30/09/2025;4;57
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_104-GGS_SMC_C003_PM001_25_09_30.xlsm;Déplacements;GGS;C003;2025-09;DPM haut gauche;0.01;-7.68;30/09/2025;25/08/2025;30/09/2025;4;57
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_104-GGS_SMC_C003_PM001_25_09_30.xlsm;Déplacements;GGS;C003;2025-09;DH haut gauche;0.45;7.23;30/09/2025;25/08/2025;30/09/2025;4;57
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_104-GGS_SMC_C003_PM001_25_09_30.xlsm;Déplacements;GGS;C003;2025-09;DZ haut gauche;0.2;-8.8;30/09/2025;25/08/2025;30/09/2025;4;57
