#Nom du point;Est ;Nord;Hauteur;PM Tunnel;PM 3D;Coordonnée X/L;Coordonnée Y/H ;Valeur de déviation;Remarque;Unnamed: 10;Angle (degres)
26;823281.498912;1091532.60309;-117.437997212;13.4342386606;13.4349103558;0.647476806742;5.19666040139;0.286841179814;;;7.1021555183675895
27;823281.322486;1091532.91597;-117.498251454;13.4065826194;13.4072529318;0.289349348059;5.13668271995;0.194825790117;;;3.224064197585954
28;823281.203875;1091533.1966;-117.494465538;13.4176956038;13.4183664718;-0.0151179564991;5.14035750627;0.190379737416;;;-0.16850824165115352
29;823281.071349;1091533.48766;-117.517556753;13.4206014084;13.4212724217;-0.334912584906;5.11723723324;0.178185189795;;;-3.744549760223285
30;823280.935836;1091533.77942;-117.584968703;13.4210990885;13.4217701267;-0.656607235371;5.04982030609;0.142329347685;;;-7.408369249105024
31;823280.801091;1091534.07174;-117.642508386;13.422530104;13.4232012137;-0.978487424781;4.99226631275;0.137254719185;;;-11.089431206936952
32;823280.673631;1091534.35679;-117.682860905;13.4274880015;13.4281593591;-1.29069392601;4.95186421547;0.167308864932;;;-14.608992034734666
33;823280.541492;1091534.63944;-117.702540752;13.4271915444;13.4278628872;-1.60270514579;4.93218733206;0.236052030482;;;-18.001474556679256
34;823280.413629;1091534.92628;-117.756574815;13.4325441504;13.4332157608;-1.91671084357;4.87809974355;0.291148496832;;;-21.450936491609273
35;823280.283493;1091535.1916;-117.891266051;13.4267376347;13.4274089548;-2.21216885006;4.74346657295;0.283943651767;;;-25.002520618494152
36;823280.134362;1091535.44115;-118.02457543;13.3970564203;13.3977262564;-2.50137009549;4.61045400608;0.29529679778;;;-28.481739871155092
37;823280.037167;1091535.71802;-118.144088652;13.4259843121;13.4266555945;-2.79336955633;4.49065150513;0.338559767907;;;-31.88330779645977
38;823279.925125;1091535.97571;-118.336278643;13.4333567274;13.4340283784;-3.07427357125;4.29838778985;0.33462823506;;;-35.57293750285367
39;823279.821237;1091536.20662;-118.562771845;13.4367956114;13.4374674344;-3.32745067881;4.07186019926;0.308514381671;;;-39.2550740047338
40;823279.680265;1091536.42329;-118.78312393;13.4006086208;13.4012786345;-3.58339904383;3.85186998361;0.310955338906;;;-42.93207589892222
41;823279.568583;1091536.65365;-119.010697188;13.3967514198;13.3974212406;-3.83937252477;3.62433529794;0.329828381289;;;-46.65029479681664
42;823279.505149;1091536.88906;-119.262406171;13.4387586269;13.439430548;-4.07953585423;3.37220624319;0.342861960464;;;-50.422347915931006
43;823279.387271;1091537.06387;-119.54128201;13.4058078412;13.4064781149;-4.2877832457;3.09365991127;0.337326054701;;;-54.18933798513755
44;823279.31829;1091537.26884;-119.815610569;13.4299228602;13.4305943395;-4.50270608983;2.81909020228;0.362403570885;;;-57.949811962079536
45;823279.255819;1091537.39525;-120.136461016;13.4267316089;13.4274029286;-4.64367167683;2.49827166748;0.323049209588;;;-61.71997523876353
46;823279.17821;1091537.49586;-120.462032031;13.3989177598;13.3995876889;-4.76765452551;2.17297879137;0.289500596652;;;-65.49767703029107
47;823279.167992;1091537.57497;-120.79684862;13.4230926452;13.423763783;-4.84367056349;1.83792045336;0.230646303356;;;-69.22085737266421
48;823279.126456;1091537.64154;-121.122411983;13.4135822029;13.4142528652;-4.92155250009;1.51245219543;0.198707668392;;;-72.91717807181081
49;823279.099962;1091537.68789;-121.449863861;13.4091637542;13.4098341957;-4.97476428938;1.18504450128;0.163962280358;;;-76.60121548830419
50;823279.053549;1091537.75907;-121.773709302;13.3971819861;13.3978518285;-5.05888665589;0.861318878163;0.181686312216;;;-80.33755568198573
51;823279.048119;1091537.7826;-122.089007567;13.4022047595;13.402874853;-5.08250309073;0.54597038525;0.161743472517;;;-83.86870991784377
52;823279.020124;1091537.84923;-122.425395565;13.4049938879;13.4056641209;-5.15472343667;0.209554496407;0.208981178054;;;-87.67204183590393
53;823279.019963;1091537.81201;-122.729790684;13.3891191657;13.3897886049;-5.12106156681;-0.0946818752401;0.17193676538;;;-88.94079503426872
54;823279.064139;1091537.82137;-122.893733846;13.4331124878;13.4337841266;-5.11087743577;-0.25906497054;0.167439088294;;;-87.09822109462705
