Repertoire;Ligne;AB;AC;AD;AE;AF;AG
07-SMC GTB 009;205;23/05/2025 00:00;BD;S075;823006.265;1091535.036;-124.327
07-SMC GTB 009;206;05/06/2025 00:00;BG;GTB.S091;823008.463;1091530.231;-124.366
07-SMC GTB 009;207;05/06/2025 00:00;HG;GTB.S092;823008.353;1091530.481;-122.095
07-SMC GTB 009;208;05/06/2025 00:00;CH;GTB.S093;823007.435;1091532.291;-120.714
07-SMC GTB 009;209;05/06/2025 00:00;HD;GTB.S094;823006.304;1091534.788;-122.099
07-SMC GTB 009;210;05/06/2025 00:00;BD;GTB.S095;823006.265;1091535.036;-124.326
07-SMC GTB 009;211;08/07/2025 00:00;BG;S071;823008.463;1091530.231;-124.366
07-SMC GTB 009;212;08/07/2025 00:00;HG;S072;823008.352;1091530.481;-122.094
07-SMC GTB 009;213;08/07/2025 00:00;CH;S073;823007.435;1091532.292;-120.714
07-SMC GTB 009;214;08/07/2025 00:00;HD;S074;823006.304;1091534.787;-122.099
07-SMC GTB 009;215;08/07/2025 00:00;BD;S075;823006.263;1091535.036;-124.325
;;;;;;;
08-SMC GTB 016;337;09/04/2025 00:00;HG;S5_S0161;823003.456;1091527.525;-120.541
08-SMC GTB 016;338;09/04/2025 00:00;VG;S5_S0162;823002.798;1091529.201;-119.513
08-SMC GTB 016;339;09/04/2025 00:00;CH;S5_S0163;823002.261;1091530.313;-119.328
08-SMC GTB 016;340;09/04/2025 00:00;VD;S5_S0164;823001.877;1091531.254;-119.424
08-SMC GTB 016;341;09/04/2025 00:00;HD;S5_S0165;823001.143;1091532.809;-120.633
08-SMC GTB 016;342;23/04/2025 00:00;HG;S0161;823003.456;1091527.526;-120.541
08-SMC GTB 016;343;23/04/2025 00:00;VG;S0162;823002.798;1091529.201;-119.514
08-SMC GTB 016;344;23/04/2025 00:00;CH;S0163;823002.261;1091530.313;-119.329
08-SMC GTB 016;345;23/04/2025 00:00;VD;S0164;823001.877;1091531.254;-119.424
08-SMC GTB 016;346;23/04/2025 00:00;HD;S0165;823001.143;1091532.809;-120.633
08-SMC GTB 016;347;05/06/2025 00:00;HG;GTB.S161;823003.457;1091527.526;-120.541
08-SMC GTB 016;348;05/06/2025 00:00;VG;GTB.S162;823002.798;1091529.201;-119.514
08-SMC GTB 016;349;05/06/2025 00:00;CH;GTB.S163;823002.262;1091530.313;-119.329
08-SMC GTB 016;350;05/06/2025 00:00;VD;GTB.S164;823001.878;1091531.254;-119.425
08-SMC GTB 016;351;05/06/2025 00:00;HD;GTB.S165;823001.144;1091532.809;-120.634
08-SMC GTB 016;352;08/07/2025 00:00;HG;S0161;823003.457;1091527.526;-120.541
08-SMC GTB 016;353;08/07/2025 00:00;VG;S0162;823002.799;1091529.201;-119.514
08-SMC GTB 016;354;08/07/2025 00:00;CH;S0163;823002.261;1091530.313;-119.328
08-SMC GTB 016;355;08/07/2025 00:00;VD;S0164;823001.878;1091531.254;-119.424
08-SMC GTB 016;356;08/07/2025 00:00;HD;S0165;823001.144;1091532.809;-120.634
;;;;;;;
09-SMC GTB 024;200;26/02/2025 00:00;CH;S0242;822996.976;1091527.888;-117.269
09-SMC GTB 024;201;26/02/2025 00:00;HD;S0243;822995.372;1091531.256;-119.11
09-SMC GTB 024;202;10/03/2025 00:00;HG;GTB.S0241;822998.522;1091524.359;-119.037
09-SMC GTB 024;203;10/03/2025 00:00;CH;GTB.S0242;822996.974;1091527.888;-117.268
09-SMC GTB 024;204;10/03/2025 00:00;HD;GTB.S0243;822995.371;1091531.256;-119.109
09-SMC GTB 024;205;20/03/2025 00:00;HG;GTB.S.241;822998.521;1091524.358;-119.036
09-SMC GTB 024;206;20/03/2025 00:00;CH;GTB.S.242;822996.976;1091527.89;-117.269
09-SMC GTB 024;207;20/03/2025 00:00;HD;GTB.S.243;822995.37;1091531.256;-119.108
09-SMC GTB 024;208;09/04/2025 00:00;HG;S4_S0241;822998.522;1091524.359;-119.037
09-SMC GTB 024;209;09/04/2025 00:00;CH;S4_S0242;822996.974;1091527.888;-117.268
09-SMC GTB 024;210;09/04/2025 00:00;HD;S4_S0243;822995.371;1091531.256;-119.109
09-SMC GTB 024;211;23/04/2025 00:00;HG;S0241;822998.522;1091524.359;-119.037
09-SMC GTB 024;212;23/04/2025 00:00;CH;S0242;822996.974;1091527.888;-117.268
09-SMC GTB 024;213;23/04/2025 00:00;HD;S0243;822995.371;1091531.256;-119.109
09-SMC GTB 024;214;05/06/2025 00:00;HG;GTB.S241;822998.523;1091524.36;-119.037
09-SMC GTB 024;215;05/06/2025 00:00;CH;GTB.S242;822996.975;1091527.889;-117.268
09-SMC GTB 024;216;05/06/2025 00:00;HD;GTB.S243;822995.373;1091531.257;-119.109
09-SMC GTB 024;217;08/07/2025 00:00;HG;S241;822998.522;1091524.359;-119.036
09-SMC GTB 024;218;08/07/2025 00:00;CH;S242;822996.974;1091527.888;-117.268
09-SMC GTB 024;219;08/07/2025 00:00;HD;S243;822995.371;1091531.256;-119.109
;;;;;;;
10-SMC GTB 032;147;10/03/2025 00:00;CH;GTB.S0322;822991.369;1091524.744;-117.456
10-SMC GTB 032;148;10/03/2025 00:00;HD;GTB.S0323;822989.751;1091528.263;-119.027
10-SMC GTB 032;149;20/03/2025 00:00;HG;GTB.S.321;822992.638;1091521.865;-119.134
10-SMC GTB 032;150;20/03/2025 00:00;CH;GTB.S.322;822991.369;1091524.745;-117.456
10-SMC GTB 032;151;20/03/2025 00:00;HD;GTB.S.323;822989.748;1091528.263;-119.025
10-SMC GTB 032;152;09/04/2025 00:00;HG;S4_S0321;822992.637;1091521.865;-119.135
10-SMC GTB 032;153;09/04/2025 00:00;CH;S4_S0322;822991.369;1091524.745;-117.457
