Repertoire;Ligne;AB;AC;AD;AE;AF;AG
04-SMC carrefour - GVA;169;2024-11-05 00:00:00;HG;2-HG;823067.777;1091436.013;-121.076
04-SMC carrefour - GVA;170;2024-11-05 00:00:00;CH;3-CH;823068.567;1091434.256;-119.834
04-SMC carrefour - GVA;171;2024-11-05 00:00:00;HD;4-HD;823069.475;1091432.362;-120.823
04-SMC carrefour - GVA;172;2024-11-05 00:00:00;BD;5-BD;823069.702;1091431.819;-123.154
04-SMC carrefour - GVA;173;2025-01-14 00:00:00;BG;1-BG;823067.631;1091436.289;-123.494
04-SMC carrefour - GVA;174;2025-01-14 00:00:00;HG;2-HG;823067.778;1091436.013;-121.076
04-SMC carrefour - GVA;175;2025-01-14 00:00:00;CH;3-CH;823068.568;1091434.256;-119.834
04-SMC carrefour - GVA;176;2025-01-14 00:00:00;BD;5-BD;823069.704;1091431.819;-123.153
04-SMC carrefour - GVA;177;2025-03-28 00:00:00;BG;A2201;823067.630;1091436.289;-123.494
04-SMC carrefour - GVA;178;2025-03-28 00:00:00;HG;A2202;823067.777;1091436.012;-121.076
04-SMC carrefour - GVA;179;2025-03-28 00:00:00;CH;A2203;823068.567;1091434.255;-119.835
04-SMC carrefour - GVA;180;2025-03-28 00:00:00;BD;A2205;823069.704;1091431.818;-123.153
04-SMC carrefour - GVA;181;2025-06-17 00:00:00;BG;2201;823067.632;1091436.291;-123.495
04-SMC carrefour - GVA;182;2025-06-17 00:00:00;HG;2202;823067.778;1091436.014;-121.076
04-SMC carrefour - GVA;183;2025-06-17 00:00:00;CH;2203;823068.568;1091434.258;-119.834
04-SMC carrefour - GVA;184;2025-06-17 00:00:00;HD;2204;823069.475;1091432.363;-120.824
04-SMC carrefour - GVA;185;2025-06-17 00:00:00;BD;2205;823069.704;1091431.821;-123.154
;;;;;;;
05-SMC Galerie S4 - GGS 03;252;2025-07-08 00:00:00;BD;S.0035;823060.270;1091433.031;-123.134
05-SMC Galerie S4 - GGS 03;253;2025-07-15 00:00:00;BG;S031;823062.488;1091428.365;-123.061
05-SMC Galerie S4 - GGS 03;254;2025-07-15 00:00:00;HG;S032;823062.039;1091429.239;-120.071
05-SMC Galerie S4 - GGS 03;255;2025-07-15 00:00:00;CH;S033;823061.277;1091430.594;-119.687
05-SMC Galerie S4 - GGS 03;256;2025-07-15 00:00:00;BD;S035;823060.269;1091433.031;-123.133
05-SMC Galerie S4 - GGS 03;257;2025-07-23 00:00:00;BG;A.S0041;823062.488;1091428.365;-123.061
05-SMC Galerie S4 - GGS 03;258;2025-07-23 00:00:00;HG;A.S0042;823062.039;1091429.240;-120.072
05-SMC Galerie S4 - GGS 03;259;2025-07-23 00:00:00;CH;A.S0043;823061.277;1091430.594;-119.686
05-SMC Galerie S4 - GGS 03;260;2025-07-23 00:00:00;BD;A.S0045;823060.269;1091433.030;-123.134
05-SMC Galerie S4 - GGS 03;261;2025-07-29 00:00:00;BG;S.03.1;823062.487;1091428.365;-123.061
05-SMC Galerie S4 - GGS 03;262;2025-07-29 00:00:00;HG;S.03.2;823062.038;1091429.239;-120.071
05-SMC Galerie S4 - GGS 03;263;2025-07-29 00:00:00;CH;S.03.3;823061.277;1091430.593;-119.686
05-SMC Galerie S4 - GGS 03;264;2025-07-29 00:00:00;BD;S.03.5;823060.269;1091433.030;-123.133
05-SMC Galerie S4 - GGS 03;265;2025-08-18 00:00:00;BG;i1_S031;823062.487;1091428.366;-123.061
05-SMC Galerie S4 - GGS 03;266;2025-08-18 00:00:00;HG;i1_S032;823062.039;1091429.240;-120.072
05-SMC Galerie S4 - GGS 03;267;2025-08-18 00:00:00;CH;i1_S033;823061.277;1091430.594;-119.687
05-SMC Galerie S4 - GGS 03;268;2025-08-18 00:00:00;BD;i1_S035;823060.269;1091433.030;-123.133
05-SMC Galerie S4 - GGS 03;269;2025-08-25 00:00:00;BG;C.S0031;823062.488;1091428.365;-123.061
05-SMC Galerie S4 - GGS 03;270;2025-08-25 00:00:00;HG;C.S0032;823062.040;1091429.240;-120.072
05-SMC Galerie S4 - GGS 03;271;2025-08-25 00:00:00;CH;C.S0033;823061.279;1091430.594;-119.688
05-SMC Galerie S4 - GGS 03;272;2025-08-25 00:00:00;BD;C.S0035;823060.270;1091433.030;-123.133
05-SMC Galerie S4 - GGS 03;273;2025-09-02 00:00:00;BG;S031;823062.489;1091428.367;-123.061
05-SMC Galerie S4 - GGS 03;274;2025-09-02 00:00:00;HG;S032;823062.040;1091429.240;-120.071
05-SMC Galerie S4 - GGS 03;275;2025-09-02 00:00:00;CH;S033;823061.279;1091430.594;-119.687
05-SMC Galerie S4 - GGS 03;276;2025-09-02 00:00:00;BD;S035;823060.270;1091433.030;-123.133
;;;;;;;
06-SMC Galerie S4 - GGS 07;212;2025-07-08 00:00:00;BD;S.0075;823056.718;1091431.445;-123.014
06-SMC Galerie S4 - GGS 07;213;2025-07-15 00:00:00;BG;S071;823058.969;1091426.666;-123.061
06-SMC Galerie S4 - GGS 07;214;2025-07-15 00:00:00;HG;S072;823058.929;1091426.748;-121.131
06-SMC Galerie S4 - GGS 07;215;2025-07-15 00:00:00;CH;S073;823058.016;1091429.069;-119.705
06-SMC Galerie S4 - GGS 07;216;2025-07-15 00:00:00;BD;S075;823056.718;1091431.445;-123.014
06-SMC Galerie S4 - GGS 07;217;2025-07-23 00:00:00;BG;A.S0071;823058.969;1091426.667;-123.061
06-SMC Galerie S4 - GGS 07;218;2025-07-23 00:00:00;HG;A.S0072;823058.929;1091426.749;-121.132
06-SMC Galerie S4 - GGS 07;219;2025-07-23 00:00:00;CH;A.S0073;823058.016;1091429.069;-119.706
06-SMC Galerie S4 - GGS 07;220;2025-07-23 00:00:00;BD;A.S0075;823056.718;1091431.444;-123.014
06-SMC Galerie S4 - GGS 07;221;2025-07-29 00:00:00;BG;S.07.1;823058.968;1091426.666;-123.061
06-SMC Galerie S4 - GGS 07;222;2025-07-29 00:00:00;HG;S.07.2;823058.929;1091426.749;-121.131
06-SMC Galerie S4 - GGS 07;223;2025-07-29 00:00:00;CH;S.07.3;823058.016;1091429.069;-119.706
06-SMC Galerie S4 - GGS 07;224;2025-07-29 00:00:00;BD;S.07.5;823056.717;1091431.444;-123.013
06-SMC Galerie S4 - GGS 07;225;2025-08-18 00:00:00;BG;i1_S071;823058.969;1091426.667;-123.061
06-SMC Galerie S4 - GGS 07;226;2025-08-18 00:00:00;HG;i1_S072;823058.929;1091426.749;-121.132
06-SMC Galerie S4 - GGS 07;227;2025-08-18 00:00:00;CH;i1_S073;823058.017;1091429.069;-119.707
06-SMC Galerie S4 - GGS 07;228;2025-08-18 00:00:00;BD;i1_S075;823056.718;1091431.444;-123.013
06-SMC Galerie S4 - GGS 07;229;2025-08-25 00:00:00;BG;C.S0071;823058.969;1091426.667;-123.061
06-SMC Galerie S4 - GGS 07;230;2025-08-25 00:00:00;HG;C.S0072;823058.930;1091426.749;-121.132
06-SMC Galerie S4 - GGS 07;231;2025-08-25 00:00:00;CH;C.S0073;823058.017;1091429.069;-119.708
06-SMC Galerie S4 - GGS 07;232;2025-08-25 00:00:00;BD;C.S0075;823056.719;1091431.444;-123.014
06-SMC Galerie S4 - GGS 07;233;2025-09-02 00:00:00;BG;S071;823058.970;1091426.668;-123.061
06-SMC Galerie S4 - GGS 07;234;2025-09-02 00:00:00;HG;S072;823058.931;1091426.750;-121.132
06-SMC Galerie S4 - GGS 07;235;2025-09-02 00:00:00;CH;S073;823058.018;1091429.070;-119.708
