Repertoire;Ligne;AB;AC;AD;AE;AF;AG
06-SMC Galerie S4 - GGS 07;265;2025-11-04 00:00:00;BG;S.0071;823058.969;1091426.668;-123.061
06-SMC Galerie S4 - GGS 07;266;2025-11-04 00:00:00;HG;S.0072;823058.930;1091426.750;-121.132
06-SMC Galerie S4 - GGS 07;267;2025-11-04 00:00:00;CH;S.0073;823058.018;1091429.076;-119.712
06-SMC Galerie S4 - GGS 07;268;2025-11-04 00:00:00;BD;S.0075;823056.720;1091431.443;-123.013
06-SMC Galerie S4 - GGS 07;269;2025-11-18 00:00:00;BG;S0071;823058.969;1091426.669;-123.061
06-SMC Galerie S4 - GGS 07;270;2025-11-18 00:00:00;HG;S0072;823058.929;1091426.751;-121.132
06-SMC Galerie S4 - GGS 07;271;2025-11-18 00:00:00;CH;S0073;823058.018;1091429.076;-119.713
06-SMC Galerie S4 - GGS 07;272;2025-11-18 00:00:00;BD;S0075;823056.720;1091431.442;-123.014
06-SMC Galerie S4 - GGS 07;273;2025-12-04 00:00:00;BG;S071;823058.970;1091426.669;-123.061
06-SMC Galerie S4 - GGS 07;274;2025-12-04 00:00:00;HG;S072;823058.930;1091426.750;-121.132
06-SMC Galerie S4 - GGS 07;275;2025-12-04 00:00:00;CH;S073;823058.018;1091429.077;-119.713
06-SMC Galerie S4 - GGS 07;276;2025-12-04 00:00:00;BD;S075;823056.720;1091431.442;-123.013
06-SMC Galerie S4 - GGS 07;277;;;S075;823056.720;1091431.442;-123.013
;;;;;;;
07-SMC entonnement - GGS 20;164;2025-10-20 00:00:00;CH;S203;823047.676;1091424.442;-117.525
07-SMC entonnement - GGS 20;165;2025-10-20 00:00:00;ID;S205;823046.188;1091428.013;-120.728
07-SMC entonnement - GGS 20;166;2025-10-28 00:00:00;IG;S0201;823049.403;1091420.877;-120.154
07-SMC entonnement - GGS 20;167;2025-10-28 00:00:00;HG;S0202;823048.761;1091422.063;-118.236
07-SMC entonnement - GGS 20;168;2025-10-28 00:00:00;CH;S0203;823047.675;1091424.442;-117.527
07-SMC entonnement - GGS 20;169;2025-10-28 00:00:00;ID;S0205;823046.188;1091428.013;-120.730
07-SMC entonnement - GGS 20;170;2025-11-04 00:00:00;IG;S.0201.2;823049.404;1091420.879;-120.154
07-SMC entonnement - GGS 20;171;2025-11-04 00:00:00;HG;S.0202.2;823048.762;1091422.064;-118.236
07-SMC entonnement - GGS 20;172;2025-11-04 00:00:00;CH;S.0203.2;823047.676;1091424.443;-117.528
07-SMC entonnement - GGS 20;173;2025-11-04 00:00:00;HD;S.0204.1;823046.519;1091427.242;-118.921
07-SMC entonnement - GGS 20;174;2025-11-04 00:00:00;ID;S.0205.2;823046.189;1091428.014;-120.730
07-SMC entonnement - GGS 20;175;2025-11-18 00:00:00;IG;S0201;823049.403;1091420.878;-120.154
07-SMC entonnement - GGS 20;176;2025-11-18 00:00:00;HG;S0202;823048.761;1091422.065;-118.236
07-SMC entonnement - GGS 20;177;2025-11-18 00:00:00;CH;S0203;823047.675;1091424.443;-117.528
07-SMC entonnement - GGS 20;178;2025-11-18 00:00:00;HD;S0204;823046.520;1091427.241;-118.922
