H;V;PM
2.964;1.571;53.177
2.828;0.672;52.981
2.644;4.002;52.725
2.612;4.112;52.682
2.997;1.970;53.237
3.002;2.445;53.248
2.693;3.774;52.806
3.008;2.148;53.261
3.001;2.052;53.252
2.820;0.733;52.990
2.620;-0.198;52.699
3.010;2.369;53.266
2.885;1.077;53.085
3.011;2.276;53.274
2.726;0.298;52.859
2.856;3.331;53.057
2.951;1.769;53.194
2.858;3.279;53.066
2.670;3.872;52.794
2.919;1.672;53.161
2.707;3.711;52.856
2.872;3.179;53.095
2.811;0.893;53.007
2.873;1.133;53.102
2.719;0.375;52.878
2.884;3.083;53.122
2.912;1.388;53.163
2.892;2.929;53.142
2.785;0.769;52.990
2.730;0.432;52.912
2.893;2.907;53.156
2.892;1.287;53.152
2.901;2.779;53.177
2.905;1.534;53.182
2.743;0.526;52.948
2.912;2.650;53.214
2.753;0.665;52.978
2.886;2.830;53.183
2.758;3.518;52.999
2.792;1.050;53.057
2.607;0.075;52.781
2.935;2.430;53.276
2.611;0.132;52.794
2.643;3.893;52.847
2.941;2.370;53.291
2.940;2.169;53.289
2.916;2.030;53.259
2.890;1.871;53.218
2.724;0.631;52.970
2.717;0.579;52.962
2.820;1.176;53.119
2.758;0.973;53.028
2.795;1.113;53.091
2.626;0.333;52.847
2.715;3.576;52.991
2.652;3.736;52.898
2.583;0.134;52.794
2.815;3.131;53.150
2.663;3.680;52.924
2.811;3.229;53.147
2.826;1.589;53.168
2.821;3.078;53.164
2.830;2.972;53.180
2.822;1.431;53.168
2.835;2.869;53.201
2.837;2.771;53.206
2.901;2.369;53.303
2.809;1.373;53.162
2.799;1.635;53.151
2.598;3.956;52.849
2.840;1.924;53.215
2.677;3.629;52.971
2.846;2.692;53.234
2.855;1.996;53.246
2.499;-0.208;52.701
2.520;4.195;52.748
2.633;0.508;52.918
2.518;-0.027;52.747
2.861;2.569;53.277
2.696;0.932;53.025
2.525;0.003;52.763
2.669;0.772;52.988
2.863;2.469;53.290
2.705;1.012;53.054
2.715;3.469;53.076
2.711;1.040;53.069
2.540;4.049;52.816
2.732;3.348;53.126
2.732;1.172;53.126
2.744;3.269;53.157
2.742;1.732;53.153
2.740;1.271;53.148
2.743;1.667;53.156
2.572;3.940;52.896
2.589;0.539;52.925
2.757;3.069;53.192
2.591;3.779;52.940
2.655;0.965;53.040
2.761;2.931;53.214
2.733;1.589;53.170
2.522;0.434;52.836
2.776;2.732;53.248
2.594;0.732;52.960
2.543;0.500;52.881
2.782;2.050;53.268
2.668;1.069;53.087
2.795;2.571;53.299
2.804;2.228;53.316
2.790;2.128;53.294
2.473;0.154;52.792
2.802;2.389;53.324
2.701;1.471;53.170
2.568;3.650;52.970
2.641;3.551;53.086
2.468;0.373;52.809
2.464;4.172;52.809
2.540;3.672;52.933
2.646;3.476;53.102
2.693;1.791;53.176
2.651;1.132;53.108
2.615;3.608;53.057
2.479;4.075;52.844
2.550;3.830;52.957
2.657;3.378;53.130
2.778;2.328;53.326
2.412;4.295;52.742
2.771;2.476;53.317
2.774;2.229;53.322
2.673;1.371;53.163
2.495;4.033;52.887
2.712;1.929;53.235
2.560;0.810;52.990
2.758;2.550;53.315
2.751;2.168;53.304
2.529;3.888;52.950
2.644;1.271;53.135
2.498;0.569;52.901
2.683;3.231;53.206
2.691;3.150;53.220
2.514;0.635;52.933
2.696;2.972;53.231
2.700;2.869;53.243
2.567;3.657;53.031
2.692;3.072;53.234
2.676;1.856;53.210
2.638;1.332;53.148
2.708;2.031;53.269
2.513;0.730;52.950
2.721;2.662;53.296
2.719;2.087;53.292
2.530;3.826;52.988
2.533;0.797;52.991
2.433;0.454;52.832
2.422;0.412;52.814
2.606;1.299;53.129
2.559;0.938;53.063
2.368;-0.045;52.752
2.571;1.085;53.091
2.377;0.073;52.769
2.686;2.068;53.288
2.379;0.228;52.777
2.384;0.373;52.798
2.586;3.415;53.139
2.659;2.005;53.261
2.352;4.350;52.755
2.591;1.430;53.157
2.600;1.730;53.175
2.597;1.571;53.169
2.600;1.850;53.191
2.424;4.073;52.899
2.582;1.630;53.165
2.560;3.471;53.138
2.629;2.891;53.253
2.591;3.344;53.198
2.629;3.070;53.261
2.634;2.771;53.270
2.440;0.688;52.942
2.603;1.930;53.223
2.529;1.252;53.098
2.647;2.684;53.303
2.331;0.173;52.768
2.451;3.931;52.978
2.342;0.337;52.790
2.333;0.268;52.777
2.454;0.770;52.985
2.649;2.249;53.320
2.472;0.832;53.029
2.644;2.584;53.326
2.632;2.169;53.305
2.474;3.778;53.040
2.495;1.171;53.078
2.490;1.062;53.075
2.488;0.977;53.074
2.482;0.989;53.066
