H;V;PM
3.892981;2.880505;37.062731
4.287286;1.407781;37.247997
4.240783;1.549900;37.229113
3.996235;2.261560;37.120476
4.331769;1.250554;37.280250
4.552828;0.185184;37.385934
4.553499;0.249526;37.384408
4.406362;0.934223;37.318109
4.307991;1.313059;37.271531
4.004109;2.205348;37.131376
4.075905;2.041744;37.165121
4.376721;1.081445;37.306859
4.438191;0.761999;37.335042
4.375641;1.049921;37.309872
3.815397;2.961821;37.049184
4.467778;0.610112;37.355454
3.947930;2.380506;37.107287
4.395410;0.849729;37.327645
4.508414;0.396197;37.380491
3.782364;3.016517;37.042138
3.946696;2.487001;37.126615
4.100341;1.894837;37.196933
4.309071;1.202863;37.294380
3.753424;3.044848;37.035484
4.490607;0.424454;37.380672
4.235331;1.381744;37.263099
4.467334;0.040780;37.370047
4.190302;1.541237;37.242811
4.334915;1.079128;37.311515
4.499881;0.147445;37.393486
4.153379;1.680317;37.234560
4.013303;2.061303;37.170505
4.425967;0.615811;37.362767
3.971236;2.148923;37.150342
3.726936;3.053795;37.037196
3.894458;2.635668;37.119454
3.800699;2.917313;37.079025
4.458837;0.067848;37.386403
4.315731;1.054378;37.321589
4.474032;0.186635;37.397334
4.324562;0.964677;37.330144
3.643349;3.200395;37.014542
4.461155;0.295083;37.400516
4.445262;0.076650;37.394986
3.634696;3.197530;37.017968
4.043338;1.907120;37.210094
4.170396;1.443201;37.270845
4.443822;0.179393;37.398849
3.851743;2.663679;37.121047
4.105106;1.757381;37.233382
4.438163;0.054036;37.396762
3.855252;2.632717;37.127783
4.354282;0.700647;37.362263
3.554997;3.301547;36.996348
3.834119;2.716627;37.132354
3.703373;3.020445;37.070654
3.916206;2.150035;37.169971
3.518035;3.328798;36.984808
3.878556;2.353715;37.153567
4.313588;0.767584;37.356359
4.356402;0.622280;37.379250
4.412501;0.070313;37.406780
3.831316;2.643794;37.136355
4.420766;0.248638;37.408563
4.073658;1.723024;37.249332
3.541745;3.294960;37.004892
4.194578;1.253536;37.307570
4.281802;0.880640;37.347787
4.283591;0.855657;37.349079
3.726428;2.935889;37.093181
3.825429;2.676034;37.139344
4.267446;0.901840;37.347390
4.369481;0.471465;37.398913
3.666367;3.052704;37.071784
4.033085;1.802238;37.243639
4.289023;0.766417;37.363142
4.259958;0.870877;37.352355
3.826474;2.611530;37.148463
3.856828;2.417123;37.172046
4.264592;0.816975;37.357896
3.855932;2.282036;37.167587
4.158521;1.278556;37.308928
3.569841;3.223443;37.035958
3.727419;2.869843;37.110941
4.247038;0.849887;37.355112
4.160337;1.229464;37.315627
3.842493;2.500084;37.168038
4.307821;0.656869;37.385197
3.455401;3.364755;36.987811
3.846597;2.354573;37.172035
4.199306;1.067019;37.337188
4.056738;1.626366;37.271597
4.361448;0.134806;37.414329
4.139686;1.249418;37.312312
3.838516;2.326443;37.177420
4.286614;0.680966;37.384707
3.702890;2.872264;37.114858
4.319150;0.500392;37.404097
4.245312;0.747376;37.372162
3.630240;3.079560;37.080231
4.281461;0.644746;37.390947
4.149155;1.158289;37.329559
3.857802;2.122923;37.194966
3.836708;2.178785;37.186717
3.759675;2.696060;37.153081
4.071111;1.424881;37.301420
3.652577;2.956032;37.105103
3.418372;3.375848;36.997043
4.281336;0.586352;37.401054
3.406490;3.390299;37.000125
3.792062;2.499099;37.180650
4.069248;1.367437;37.312801
3.864013;1.994430;37.222131
3.981096;1.716551;37.279582
4.185735;0.843900;37.375318
3.739438;2.672420;37.169530
4.263289;0.503479;37.414308
3.578205;3.068480;37.097650
4.247907;0.578756;37.408120
3.686667;2.783001;37.147265
4.119133;1.067300;37.349803
3.353197;3.419186;36.991849
4.115486;1.029487;37.355643
3.748614;2.591628;37.184802
4.276846;0.042700;37.431649
3.775799;2.377397;37.198292
3.795090;2.149861;37.209320
3.950481;1.734564;37.282041
4.255798;0.450611;37.424883
3.297321;3.475590;36.980351
4.269628;0.239337;37.434502
4.082626;1.109630;37.346757
3.608906;2.872746;37.127363
3.802616;2.105060;37.216968
3.767182;2.343582;37.200229
4.118853;0.968238;37.366237
4.001758;1.485826;37.312128
3.887651;1.880136;37.260014
3.662190;2.756577;37.155975
3.617692;2.847848;37.135471
3.960632;1.664708;37.296533
4.015527;1.357964;37.323964
3.674456;2.701426;37.170958
3.700436;2.638488;37.184640
4.249380;0.326877;37.441173
3.992948;1.421049;37.321242
3.960257;1.633618;37.306857
3.470245;3.209361;37.080118
4.123734;0.876191;37.383347
4.004076;1.312485;37.328808
4.038346;1.161590;37.345781
4.139604;0.792366;37.392376
4.186989;0.587939;37.416711
3.741452;2.314999;37.209914
4.211402;0.469688;37.430467
3.281259;3.444390;37.000032
4.228236;0.357108;37.441528
3.815259;1.944030;37.250088
3.580347;2.846863;37.141524
4.233436;0.261098;37.446041
3.326250;3.400665;37.024376
3.760936;2.120854;37.228015
4.179546;0.560568;37.422149
3.754012;2.143852;37.225034
3.657294;2.676586;37.180583
3.551655;2.952658;37.130837
3.975901;1.400177;37.332275
3.592238;2.796247;37.152563
3.200537;3.514044;36.973714
4.054379;0.992219;37.375796
4.135057;0.692676;37.413938
3.692788;2.555351;37.209701
4.192506;0.179684;37.445703
3.341132;3.340406;37.047997
3.924356;1.597159;37.325011
3.887210;1.714418;37.306179
3.876426;1.740490;37.301979
3.982072;1.135746;37.354566
-4.615712;0.496234;37.058765
3.941793;1.344577;37.342870
4.056188;0.867209;37.397123
3.186850;3.489134;36.998247
4.161591;0.347737;37.450047
