source_file,sheet,galerie,section,month,metric,periodic_mm,cumulative_mm,date_last_in_month,date_last_before_month,date_last_cumulative,nb_dates_in_month,nb_dates_before_month
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_106-GGS_SMC_C020_PM005_25_08_25.xlsm,Déplacements,GGS,C020,2025-08,DH haut droit,,-9.4,,2025-07-29,2025-07-29,2,23
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_106-GGS_SMC_C020_PM005_25_08_25.xlsm,Déplacements,GGS,C020,2025-08,DZ haut droit,,-5.6,,2025-07-29,2025-07-29,2,23
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_106-GGS_SMC_C020_PM005_25_08_25.xlsm,Déplacements,GGS,C020,2025-08,DPM inter droit,0.67,-0.53,2025-08-25,2025-07-29,2025-08-25,2,23
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_106-GGS_SMC_C020_PM005_25_08_25.xlsm,Déplacements,GGS,C020,2025-08,DH inter droit,-1.67,-12.83,2025-08-25,2025-07-29,2025-08-25,2,23
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_106-GGS_SMC_C020_PM005_25_08_25.xlsm,Déplacements,GGS,C020,2025-08,DZ inter droit,-2.8,-6.9,2025-08-25,2025-07-29,2025-08-25,2,23
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_106-GGS_SMC_C020_PM005_25_08_25.xlsm,Déplacements,GGS,C020,2025-08,DPM bas droit,,0.0,,2025-04-04,2025-04-04,2,23
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_106-GGS_SMC_C020_PM005_25_08_25.xlsm,Déplacements,GGS,C020,2025-08,DH bas droit,,0.0,,2025-04-04,2025-04-04,2,23
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_106-GGS_SMC_C020_PM005_25_08_25.xlsm,Déplacements,GGS,C020,2025-08,DZ bas droit,,0.0,,2025-04-04,2025-04-04,2,23
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_106-GGS_SMC_C020_PM005_25_08_25.xlsm,Déplacements,GGS,C020,2025-08,DZ centre haut x2,-12.2,-124.4,2025-08-25,2025-07-29,2025-08-25,2,23
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_107-GGS_SMC_C031_PM024_25_08_25.xlsm,Déplacements,GGS,C031,2025-08,DPM bas gauche,,0.0,,2025-06-25,2025-06-25,2,12
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_107-GGS_SMC_C031_PM024_25_08_25.xlsm,Déplacements,GGS,C031,2025-08,DH bas gauche,,0.0,,2025-06-25,2025-06-25,2,12
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_107-GGS_SMC_C031_PM024_25_08_25.xlsm,Déplacements,GGS,C031,2025-08,DZ bas gauche,,0.0,,2025-06-25,2025-06-25,2,12
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_107-GGS_SMC_C031_PM024_25_08_25.xlsm,Déplacements,GGS,C031,2025-08,DPM inter gauche,-0.64,-1.56,2025-08-25,2025-07-29,2025-08-25,2,12
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_107-GGS_SMC_C031_PM024_25_08_25.xlsm,Déplacements,GGS,C031,2025-08,DH inter gauche,5.88,18.25,2025-08-25,2025-07-29,2025-08-25,2,12
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_107-GGS_SMC_C031_PM024_25_08_25.xlsm,Déplacements,GGS,C031,2025-08,DZ inter gauche,-3.4,-8.3,2025-08-25,2025-07-29,2025-08-25,2,12
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_107-GGS_SMC_C031_PM024_25_08_25.xlsm,Déplacements,GGS,C031,2025-08,DPM haut gauche,-0.37,-0.33,2025-08-25,2025-07-29,2025-08-25,2,12
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_107-GGS_SMC_C031_PM024_25_08_25.xlsm,Déplacements,GGS,C031,2025-08,DH haut gauche,2.69,4.26,2025-08-25,2025-07-29,2025-08-25,2,12
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_107-GGS_SMC_C031_PM024_25_08_25.xlsm,Déplacements,GGS,C031,2025-08,DZ haut gauche,-3.2,-9.3,2025-08-25,2025-07-29,2025-08-25,2,12
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_107-GGS_SMC_C031_PM024_25_08_25.xlsm,Déplacements,GGS,C031,2025-08,DPM centre haut,-1.94,-5.09,2025-08-25,2025-07-29,2025-08-25,2,12
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_107-GGS_SMC_C031_PM024_25_08_25.xlsm,Déplacements,GGS,C031,2025-08,DH centre haut,1.08,0.27,2025-08-25,2025-07-29,2025-08-25,2,12
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_107-GGS_SMC_C031_PM024_25_08_25.xlsm,Déplacements,GGS,C031,2025-08,DZ centre haut,-4.3,-12.0,2025-08-25,2025-07-29,2025-08-25,2,12
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_107-GGS_SMC_C031_PM024_25_08_25.xlsm,Déplacements,GGS,C031,2025-08,DPM haut droit,-1.06,-1.18,2025-08-25,2025-07-29,2025-08-25,2,12
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_107-GGS_SMC_C031_PM024_25_08_25.xlsm,Déplacements,GGS,C031,2025-08,DH haut droit,-1.27,-7.17,2025-08-25,2025-07-29,2025-08-25,2,12
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_107-GGS_SMC_C031_PM024_25_08_25.xlsm,Déplacements,GGS,C031,2025-08,DZ haut droit,-3.2,-8.8,2025-08-25,2025-07-29,2025-08-25,2,12
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_107-GGS_SMC_C031_PM024_25_08_25.xlsm,Déplacements,GGS,C031,2025-08,DPM inter droit,-2.77,-7.02,2025-08-25,2025-07-29,2025-08-25,2,12
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_107-GGS_SMC_C031_PM024_25_08_25.xlsm,Déplacements,GGS,C031,2025-08,DH inter droit,-3.06,-14.53,2025-08-25,2025-07-29,2025-08-25,2,12
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_107-GGS_SMC_C031_PM024_25_08_25.xlsm,Déplacements,GGS,C031,2025-08,DZ inter droit,-4.9,-12.2,2025-08-25,2025-07-29,2025-08-25,2,12
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_107-GGS_SMC_C031_PM024_25_08_25.xlsm,Déplacements,GGS,C031,2025-08,DPM bas droit,,0.0,,2025-06-25,2025-06-25,2,12
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_107-GGS_SMC_C031_PM024_25_08_25.xlsm,Déplacements,GGS,C031,2025-08,DH bas droit,,0.0,,2025-06-25,2025-06-25,2,12
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_107-GGS_SMC_C031_PM024_25_08_25.xlsm,Déplacements,GGS,C031,2025-08,DZ bas droit,,0.0,,2025-06-25,2025-06-25,2,12
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_107-GGS_SMC_C031_PM024_25_08_25.xlsm,Déplacements,GGS,C031,2025-08,DZ centre haut x2,-8.6,-24.0,2025-08-25,2025-07-29,2025-08-25,2,12
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_301-GVA_SMC_C105_C106_25_08_18.xlsm,Déplacements,GVA,C105,2025-08,DPM bas gauche,0.35,0.04,2025-08-18,2025-07-23,2025-08-18,1,59
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_301-GVA_SMC_C105_C106_25_08_18.xlsm,Déplacements,GVA,C105,2025-08,DH bas gauche,-0.28,1.66,2025-08-18,2025-07-23,2025-08-18,1,59
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_301-GVA_SMC_C105_C106_25_08_18.xlsm,Déplacements,GVA,C105,2025-08,DZ bas gauche,-0.6,0.41,2025-08-18,2025-07-23,2025-08-18,1,59
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_301-GVA_SMC_C105_C106_25_08_18.xlsm,Déplacements,GVA,C105,2025-08,DPM haut gauche,-0.53,-4.64,2025-08-18,2025-07-23,2025-08-18,1,59
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_301-GVA_SMC_C105_C106_25_08_18.xlsm,Déplacements,GVA,C105,2025-08,DH haut gauche,0.19,13.5,2025-08-18,2025-07-23,2025-08-18,1,59
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_301-GVA_SMC_C105_C106_25_08_18.xlsm,Déplacements,GVA,C105,2025-08,DZ haut gauche,-0.5,-0.2,2025-08-18,2025-07-23,2025-08-18,1,59
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_301-GVA_SMC_C105_C106_25_08_18.xlsm,Déplacements,GVA,C105,2025-08,DPM centre haut,-0.94,-21.64,2025-08-18,2025-07-23,2025-08-18,1,59
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_301-GVA_SMC_C105_C106_25_08_18.xlsm,Déplacements,GVA,C105,2025-08,DH centre haut,-0.11,1.22,2025-08-18,2025-07-23,2025-08-18,1,59
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_301-GVA_SMC_C105_C106_25_08_18.xlsm,Déplacements,GVA,C105,2025-08,DZ centre haut,-2.8,-56.3,2025-08-18,2025-07-23,2025-08-18,1,59
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_301-GVA_SMC_C105_C106_25_08_18.xlsm,Déplacements,GVA,C105,2025-08,DPM haut droit,-0.6,-1.4,2025-08-18,2025-07-23,2025-08-18,1,59
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_301-GVA_SMC_C105_C106_25_08_18.xlsm,Déplacements,GVA,C105,2025-08,DH haut droit,-0.61,-13.56,2025-08-18,2025-07-23,2025-08-18,1,59
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_301-GVA_SMC_C105_C106_25_08_18.xlsm,Déplacements,GVA,C105,2025-08,DZ haut droit,-0.2,2.4,2025-08-18,2025-07-23,2025-08-18,1,59
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_301-GVA_SMC_C105_C106_25_08_18.xlsm,Déplacements,GVA,C105,2025-08,DPM bas droit,,-0.05,,2025-07-23,2025-07-23,1,59
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_301-GVA_SMC_C105_C106_25_08_18.xlsm,Déplacements,GVA,C105,2025-08,DH bas droit,,-4.09,,2025-07-23,2025-07-23,1,59
