source_file,sheet,galerie,section,month,metric,periodic_mm,cumulative_mm,date_last_in_month,date_last_before_month,date_last_cumulative,nb_dates_in_month,nb_dates_before_month
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_107-GGS_SMC_C031_PM024_25_08_25.xlsm,Convergences,GGS,C031,2025-08,LB,,0.0,,2025-06-25,2025-06-25,2,12
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_301-GVA_SMC_C105_C106_25_08_18.xlsm,Convergences,GVA,C105,2025-08,BG,-1.73,-11.67,2025-08-18,2025-07-23,2025-08-18,1,59
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_301-GVA_SMC_C105_C106_25_08_18.xlsm,Convergences,GVA,C105,2025-08,HG,-1.65,-44.88,2025-08-18,2025-07-23,2025-08-18,1,59
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_301-GVA_SMC_C105_C106_25_08_18.xlsm,Convergences,GVA,C105,2025-08,HD,-2.05,-45.77,2025-08-18,2025-07-23,2025-08-18,1,59
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_301-GVA_SMC_C105_C106_25_08_18.xlsm,Convergences,GVA,C105,2025-08,BD,,-11.69,,2025-07-23,2025-07-23,1,59
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_301-GVA_SMC_C105_C106_25_08_18.xlsm,Convergences,GVA,C105,2025-08,LH,-0.8,-24.1,2025-08-18,2025-07-23,2025-08-18,1,59
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_301-GVA_SMC_C105_C106_25_08_18.xlsm,Convergences,GVA,C105,2025-08,LB,,-6.04,,2025-07-23,2025-07-23,1,59
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_302-GHA_SMC_C04_C05_25_08_18..xlsm,Convergences,GHA,C04,2025-08,BG,-2.1,-8.01,2025-08-18,2025-07-23,2025-08-18,2,67
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_302-GHA_SMC_C04_C05_25_08_18..xlsm,Convergences,GHA,C04,2025-08,IG,-1.37,-52.59,2025-08-18,2025-07-23,2025-08-18,2,67
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_302-GHA_SMC_C04_C05_25_08_18..xlsm,Convergences,GHA,C04,2025-08,HG,-1.1,-37.47,2025-08-18,2025-07-23,2025-08-18,2,67
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_302-GHA_SMC_C04_C05_25_08_18..xlsm,Convergences,GHA,C04,2025-08,HD,-0.7,-31.9,2025-08-18,2025-07-23,2025-08-18,2,67
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_302-GHA_SMC_C04_C05_25_08_18..xlsm,Convergences,GHA,C04,2025-08,ID,-1.35,-56.72,2025-08-18,2025-07-23,2025-08-18,2,67
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_302-GHA_SMC_C04_C05_25_08_18..xlsm,Convergences,GHA,C04,2025-08,BD,,0.24,,2025-06-12,2025-06-12,2,67
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_302-GHA_SMC_C04_C05_25_08_18..xlsm,Convergences,GHA,C04,2025-08,LH,-0.99,-29.64,2025-08-18,2025-07-23,2025-08-18,2,67
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_302-GHA_SMC_C04_C05_25_08_18..xlsm,Convergences,GHA,C04,2025-08,LI,-0.98,-36.81,2025-08-18,2025-07-23,2025-08-18,2,67
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_302-GHA_SMC_C04_C05_25_08_18..xlsm,Convergences,GHA,C04,2025-08,LB,,-2.87,,2025-06-12,2025-06-12,2,67
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_303-GHA_SMC_T15_25_08_18.xlsm,Convergences,GHA,T15,2025-08,BG,-1.45,-18.8,2025-08-18,2025-07-23,2025-08-18,3,59
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_303-GHA_SMC_T15_25_08_18.xlsm,Convergences,GHA,T15,2025-08,IG,-1.53,-51.54,2025-08-18,2025-07-23,2025-08-18,3,59
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_303-GHA_SMC_T15_25_08_18.xlsm,Convergences,GHA,T15,2025-08,HG,-1.04,-37.11,2025-08-18,2025-07-23,2025-08-18,3,59
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_303-GHA_SMC_T15_25_08_18.xlsm,Convergences,GHA,T15,2025-08,HD,0.02,-36.36,2025-08-18,2025-07-23,2025-08-18,3,59
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_303-GHA_SMC_T15_25_08_18.xlsm,Convergences,GHA,T15,2025-08,ID,-0.66,-78.29,2025-08-18,2025-07-23,2025-08-18,3,59
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_303-GHA_SMC_T15_25_08_18.xlsm,Convergences,GHA,T15,2025-08,BD,-1.04,-7.1,2025-08-18,2025-07-23,2025-08-18,3,59
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_303-GHA_SMC_T15_25_08_18.xlsm,Convergences,GHA,T15,2025-08,LH,-0.37,-30.15,2025-08-18,2025-07-23,2025-08-18,3,59
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_303-GHA_SMC_T15_25_08_18.xlsm,Convergences,GHA,T15,2025-08,LI,-1.3,-59.91,2025-08-18,2025-07-23,2025-08-18,3,59
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_303-GHA_SMC_T15_25_08_18.xlsm,Convergences,GHA,T15,2025-08,LB,-0.84,-0.77,2025-08-18,2025-07-23,2025-08-18,3,59
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_304-GHA_SMC_T28_25_08-18.xlsm,Convergences,GHA,T28,2025-08,BG,-1.56,-1.56,2025-08-18,2025-07-31,2025-08-18,3,39
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_304-GHA_SMC_T28_25_08-18.xlsm,Convergences,GHA,T28,2025-08,IG,-1.2,-37.13,2025-08-18,2025-07-31,2025-08-18,3,39
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_304-GHA_SMC_T28_25_08-18.xlsm,Convergences,GHA,T28,2025-08,HG,-0.74,-10.39,2025-08-18,2025-07-31,2025-08-18,3,39
